title,author
Beach Music,PAT CONROY
The Genesis Code,John Case
Practical Magic,Alice Hoffman
Riptide,Catherine Coulter
Gorky Park,Martin Cruz Smith
The Lost Boy: A Foster Child's Search for the Love of a Family,Dave Pelzer
Bridge to Terabithia,Katherine Paterson
The Bluest Eye,Toni Morrison
Fortune's Rocks: A Novel,Anita Shreve
Silent Witness,RICHARD NORTH PATTERSON
Midnight Bayou,Nora Roberts
Fingersmith,Sarah Waters
Shadowfires,Dean R. Koontz
No Greater Love,William X. Kienzle
Remember Me,Mary Higgins Clark
It's Always Something,Gilda Radner
Lucky Man: A Memoir,Michael J. Fox
Fatherhood,Bill Cosby
Big Cherry Holler: A Big Stone Gap Novel (Ballantine Reader's Circle),Adriana Trigiani
Secrets,DANIELLE STEEL
The Long Road Home,DANIELLE STEEL
"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",LAURA ESQUIVEL
The Saving Graces: A Novel,Patricia Gaffney
Invasion,Robin Cook
Blue Diary,Alice Hoffman
Moo,Jane Smiley
Billy Straight : A Novel,JONATHAN KELLERMAN
Macgregor Grooms (Macgregors),Nora Roberts
Nicolae: The Rise of Antichrist (Left Behind No. 3),Tim F. Lahaye
Night Prey,John Sandford
The Crimson Petal and the White,Michel Faber
Vector,Robin Cook
Impulse,Catherine Coulter
Acceptable Risk,Robin Cook
The Switch,Sandra Brown
The Clan of the Cave Bear (Earth's Children (Paperback)),Jean M. Auel
"Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\""""",Alexandra Ripley
Night Whispers,Judith McNaught
A Great Deliverance,Elizabeth George
Sacred Sins,Nora Roberts
The Sands of Time,Sidney Sheldon
Touching Evil,Kay Hooper
"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer
The Apprentice,Tess Gerritsen
The Copper Beech,Maeve Binchy
Key of Knowledge (Key Trilogy (Paperback)),Nora Roberts
"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts
Key of Light (Key Trilogy (Paperback)),Nora Roberts
Wifey,Judy Blume
The Bourne Ultimatum,Robert Ludlum
A Wrinkle In Time,MADELEINE L'ENGLE
The Boy Next Door,Meggin Cabot
Family Album,Danielle Steel
Macgregor Brides (Macgregors),Nora Roberts
Sanctuary,Nora Roberts
Message from Nam,Danielle Steel
The Pull of the Moon,Elizabeth Berg
Portrait in Death,Nora Roberts
"All the Pretty Horses (The Border Trilogy, Vol 1)",CORMAC MCCARTHY
The Most Wanted,Jacquelyn Mitchard
Eyes of a Child,Richard North Patterson
A Darkness More Than Night,Michael Connelly
Exclusive,Sandra Brown
Crazy for You,Jennifer Crusie
GARDEN OF SHADOWS (Dollanger Saga (Paperback)),Ariel Jennifer Jones
The Return Journey,MAEVE BINCHY
Jewels of the Sun (Irish Trilogy),Nora Roberts
Heartbeat,Danielle Steel
H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
Mind Prey,John Sandford
Fortune's Rocks : A Novel,Anita Shreve
The Cradle Will Fall,Mary Higgins Clark
Dream Country,Luanne Rice
Executive Orders (Jack Ryan Novels),Tom Clancy
Eyes of Prey,John Sandford
Cat &amp; Mouse (Alex Cross Novels),James Patterson
Blood Work,Michael Connelly
Certain Prey,John Sandford
Easy Prey,John Sandford
Mortal Prey,John Sandford
Patriot Games (Jack Ryan Novels),Tom Clancy
Zoya,Danielle Steel
Inner Harbor (Quinn Brothers (Paperback)),Nora Roberts
My Gal Sunday,Mary Higgins Clark
That Camden Summer,Lavyrle Spencer
Guardian Angel,Sara Paretsky
M Is for Malice,Sue Grafton
Nothing Lasts Forever,Sidney Sheldon
Deck the Halls (Holiday Classics),Mary Higgins Clark
